"Alla lediga jobb som arbetsgivare anmält till Arbetsförmedlingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LÄN","Östergötlands län","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KOMMUN","(Alla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOMMARJOBB","(Alla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Summa av KVAR","","","PERIOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRKESOMRÅDE","SSYK2012_BESKR","YRKE","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02"
"Administration, ekonomi, juridik","","","173","213","228","178","178","156","197","180","184","200","256","342","320","454","1083","358","407","300","423","250","383","333","354","377","393","339","321","309","232","234","271","248","334","296","204","621","175","223","190","175","135","120","393","138","163","173","210","202","561","295"
"Bygg och anläggning","","","57","56","87","102","125","88","184","121","190","242","221","150","130","134","167","181","117","131","199","210","219","142","82","121","99","131","131","111","76","48","69","84","97","81","52","68","76","78","61","51","75","62","68","73","87","69","50","46","56","75"
"Chefer och verksamhetsledare","","","55","89","115","94","82","102","138","76","93","87","127","189","173","152","177","155","121","131","208","122","181","159","151","169","171","159","172","126","119","111","141","112","99","119","106","157","102","139","121","106","114","116","136","113","108","96","118","135","135","149"
"Data/IT","","","259","348","350","385","348","322","362","352","336","318","420","451","416","488","539","469","529","442","554","435","473","448","385","462","487","384","506","400","516","336","367","372","372","327","297","710","666","407","349","298","240","223","300","246","287","274","319","357","351","336"
"Försäljning, inköp, marknadsföring","","","523","267","357","340","347","337","627","627","575","377","400","866","1371","1787","1060","598","547","473","892","982","1147","586","444","530","815","979","1156","981","892","792","1174","1233","1208","900","581","854","946","933","766","354","335","289","517","503","298","340","276","620","705","762"
"Hantverksyrken","","","8","10","6","8","10","3","6","7","5","8","4","2","11","8","10","10","12","6","9","11","8","14","7","7","6","11","13","15","4","3","4","6","7","4","2","10","13","6","9","5","6","1","6","5","5","4","3","12","10","9"
"Hotell, restaurang, storhushåll","","","207","232","278","232","157","159","193","232","227","243","188","148","321","509","543","515","390","322","263","340","313","178","180","125","481","527","606","370","303","208","168","158","148","159","140","165","372","480","336","292","247","147","171","166","180","126","144","180","327","415"
"Hälso- och sjukvård","","","3484","2330","3097","3092","1647","957","1218","634","817","628","1001","2952","3209","3262","3539","3295","3198","2825","2529","1205","1479","1113","3740","5062","5148","5480","5624","5128","3044","1802","1628","1500","1205","988","1344","2744","3572","5439","4969","3992","1863","568","715","528","663","505","1253","3308","4118","4180"
"Industriell tillverkning","","","544","599","251","184","296","183","180","160","297","172","253","249","616","804","615","396","340","211","174","268","369","299","256","463","610","686","580","276","266","226","188","282","271","254","288","497","624","692","580","230","224","197","212","225","298","210","145","254","620","699"
"Installation, drift, underhåll","","","136","179","199","140","132","116","145","116","131","169","204","226","223","312","309","258","231","184","162","173","256","218","213","169","243","378","369","387","215","287","193","253","197","140","129","215","237","308","229","165","138","120","127","123","143","137","128","156","343","357"
"Kropps- och skönhetsvård","","","15","18","17","9","14","16","13","14","18","23","28","17","12","10","26","21","23","16","27","19","14","23","19","18","21","23","15","17","31","26","17","23","15","7","10","4","8","8","7","12","13","9","9","14","8","12","10","11","10","14"
"Kultur, media, design","","","36","12","33","24","13","19","36","35","21","15","13","54","50","37","46","36","21","33","188","174","168","19","24","49","46","22","26","24","110","19","142","133","18","15","12","44","79","74","20","15","13","11","41","43","19","66","23","70","76","66"
"Militärt arbete","","","5","3","7","5","6","7","6","6","4","0","1","12","8","13","30","13","12","7","9","11","12","17","23","15","6","55","16","13","17","9","7","8","11","10","9","12","5","46","21","16","6","7","10","11","15","13","7","31","36","46"
"Naturbruk","","","44","59","54","30","29","22","15","8","21","24","95","48","88","95","63","157","35","23","18","28","14","12","70","29","122","106","83","56","26","15","12","12","21","10","15","61","87","95","41","57","32","30","53","15","9","58","31","151","276","219"
"Naturvetenskapligt arbete","","","72","70","22","27","26","16","23","28","22","19","47","78","81","63","33","40","40","34","42","36","95","39","43","53","50","58","42","39","42","34","38","47","27","46","36","49","64","52","31","34","32","14","33","23","23","30","26","43","41","48"
"Pedagogiskt arbete","","","167","295","404","607","415","278","273","227","229","380","345","410","283","335","577","654","516","391","368","347","385","427","381","302","234","273","526","428","404","362","271","303","163","264","228","209","213","225","451","416","267","234","225","276","137","242","238","205","231","267"
"Sanering och renhållning","","","62","89","141","110","46","53","41","51","54","98","108","74","132","229","227","212","137","114","68","125","120","107","108","111","225","180","209","163","183","79","31","41","50","60","31","64","87","288","260","73","45","26","27","57","56","42","25","57","90","125"
"Socialt arbete","","","589","621","605","526","350","203","229","180","246","270","241","322","466","561","549","448","373","306","303","284","304","254","273","398","598","472","802","568","565","433","314","277","283","264","255","902","781","807","709","662","243","169","225","211","207","190","407","444","521","706"
"Säkerhetsarbete","","","138","169","167","11","9","12","13","30","50","46","50","136","170","254","164","115","95","34","61","144","70","58","90","209","211","154","122","45","60","25","18","25","74","33","26","98","147","170","93","79","31","35","55","42","62","68","42","60","113","89"
"Tekniskt arbete","","","180","149","164","160","143","148","165","111","166","170","179","256","285","293","307","318","291","248","299","278","315","243","320","367","341","434","392","207","273","288","323","279","295","305","317","323","319","354","315","266","276","295","348","241","254","302","282","320","302","331"
"Transport","","","143","139","252","258","189","153","164","162","160","187","131","199","365","437","429","325","278","293","245","330","475","303","197","228","293","604","580","381","499","355","233","368","213","176","119","651","705","569","317","298","160","148","90","162","154","125","120","97","247","329"
"Totalsumma","","","6897","5947","6834","6522","4562","3350","4228","3357","3846","3676","4312","7181","8730","10237","10493","8574","7713","6524","7041","5772","6800","4992","7360","9264","10600","11455","12291","10044","7877","5692","5609","5764","5108","4458","4201","8458","9278","11393","9875","7596","4495","2821","3761","3215","3176","3082","3857","6759","9169","9517"
